START PCMV Test
FW>
Return to idle mode
#:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x0095759a,0x38)
W:fua=0,lba=(0x006f1258,0x8)
R:fua=0,lba=(0x0087c40a,0x40)
W:fua=0,lba=(0x010e1d28,0x28)
W:fua=0,lba=(0x0070e7c8,0x28)
W:fua=0,lba=(0x01442020,0xc0)
R:fua=0,lba=(0x00958897,0x20)
W:fua=0,lba=(0x006f12d8,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x006f1248,0x8)
T:fua=1,lba=(0x00000000,0x1)
[DPM/TRIM] lba=[0x00749260,0x0074927f],sec=0x20
[DPM/TRIM] lba=[0x00debd50,0x00dec50f],sec=0x7c0
[DPM/TRIM] lba=[0x00defde0,0x00df15df],sec=0x1800
[DPM/TRIM] lba=[0x00df6248,0x00df62c7],sec=0x80

W:fua=0,lba=(0x006f1258,0x8)
F:fua=1,lba=(0x00000000,0x0)
#:fua=1,lba=(0x00000000,0x0)
#:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x00a3d472,0x8)
#:fua=1,lba=(0x00000000,0x0)
#:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x00f3790a,0x30)
R:fua=0,lba=(0x00158ce8,0x40)
W:fua=0,lba=(0x014990d0,0x18)
R:fua=0,lba=(0x00158c50,0x40)
W:fua=0,lba=(0x006f12d8,0x8)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x00158c00,0x40)
W:fua=0,lba=(0x014990e0,0x18)
W:fua=0,lba=(0x006f1258,0x10)
F:fua=1,lba=(0x00000000,0x0)
R:fua=0,lba=(0x01499100,0x40)
W:fua=0,lba=(0x014990f0,0x18)
W:fua=0,lba=(0x006f12e0,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499100,0x18)
W:fua=0,lba=(0x006f1260,0x8)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499110,0x18)
W:fua=0,lba=(0x006f12e0,0x8)
F:fua=1,lba=(0x00000000,0x0)
F:fua=1,lba=(0x00000000,0x0)
W:fua=0,lba=(0x01499120,0x18)
W:fua=0,lba=(0x006f1260,0x8)
